88.6,168.8,-829.4285,64.1,48.8,3.47,13495
88.6,168.8,-994.7035,64.1,48.8,3.47,16500
94.5,171.2,-995.114,65.5,52.4,2.68,16500
99.8,176.6,-849.9295,66.2,54.3,3.19,13950
99.4,176.6,-1043.4895,66.4,54.3,3.19,17450
99.8,177.3,-921.5695,66.3,53.1,3.19,15250
105.8,192.7,-1064.6995,71.4,55.7,3.19,17710
105.8,192.7,-1131.2495,71.4,55.7,3.19,18920
105.8,192.7,-1403.8915,71.4,55.9,3.13,23875
99.5,178.2,-1070.790685,67.9,52,3.13,17859.167
101.2,176.8,-979.505,64.8,54.3,3.5,16430
101.2,176.8,-1006.73,64.8,54.3,3.5,16925
101.2,176.8,-1229.5755,64.8,54.3,3.31,20970
101.2,176.8,-1237.0005,64.8,54.3,3.31,21105
103.5,189,-1428.9205,66.9,55.7,3.31,24565
103.5,189,-1769.041,66.9,55.7,3.62,30760
103.5,193.8,-2351.626,67.9,53.7,3.62,41315
110,197,-2111.391,70.9,56.3,3.62,36880
88.4,141.1,-366.7905,60.3,53.2,2.91,5151
94.5,155.9,-431.0965,63.6,52,3.03,6295
94.5,158.8,-445.6265,63.6,52,3.03,6575
93.7,157.3,-392.4485,63.8,50.8,2.97,5572
93.7,157.3,-436.7235,63.8,50.8,2.97,6377
93.7,157.3,-523.5065,63.8,50.8,3.03,7957
93.7,157.3,-428.5835,63.8,50.6,2.97,6229
93.7,157.3,-454.0485,63.8,50.6,2.97,6692
93.7,157.3,-504.4835,63.8,50.6,2.97,7609
93.7,157.3,-556.5615,63.8,50.6,3.03,8558
103.3,174.6,-564.892,64.6,59.8,3.34,8921
95.9,173.2,-799.78,66.3,50.2,3.6,12964
86.6,144.6,-453.0005,63.9,50.8,2.91,6479
86.6,144.6,-473.6805,63.9,50.8,2.91,6855
93.7,150,-385.9405,64,52.6,2.91,5399
93.7,150,-448.0905,64,52.6,2.91,6529
93.7,150,-481.0905,64,52.6,2.91,7129
96.5,163.4,-483.6805,64,54.5,2.91,7295
96.5,157.1,-485.201,63.9,58.3,2.92,7295
96.5,167.5,-519.1825,65.2,53.3,3.15,7895
96.5,167.5,-585.1825,65.2,53.3,3.15,9095
96.5,175.4,-569.0625,65.2,54.1,3.15,8845
96.5,175.4,-639.3625,62.5,54.1,3.15,10295
96.5,175.4,-794.5625,65.2,54.1,3.15,12945
96.5,169.1,-656.2525,66,51,3.15,10345
94.3,170.7,-446.9405,61.8,53.5,3.31,6785
94.5,155.9,-575.279,63.6,52,3.03,8916.5
94.5,155.9,-575.279,63.6,52,3.03,8916.5
96,172.6,-690.9715,65.2,51.4,3.43,11048
113,199.6,-1848.6915,69.6,52.8,3.63,32250
113,199.6,-2030.1915,69.6,52.8,3.63,35550
102,191.7,-2070.887,70.6,47.8,3.54,36000
93.1,159.1,-372.9965,64.2,54.1,3.03,5195
93.1,159.1,-422.4965,64.2,54.1,3.03,6095
93.1,159.1,-460.9965,64.2,54.1,3.03,6795
93.1,166.8,-453.1865,64.2,54.1,3.03,6695
93.1,166.8,-491.589,64.2,54.1,3.08,7395
95.3,169,-688.9615,65.7,49.6,3.33,10945
95.3,169,-738.4615,65.7,49.6,3.33,11845
95.3,169,-837.4615,65.7,49.6,3.33,13645
95.3,169,-947.4615,65.7,49.6,3.33,15645
98.8,177.8,-570.3545,66.5,53.7,3.39,8845
98.8,177.8,-551.1045,66.5,55.5,3.39,8495
98.8,177.8,-666.6045,66.5,53.7,3.39,10595
98.8,177.8,-647.3545,66.5,55.5,3.39,10245
98.8,177.8,-677.6045,66.5,55.5,3.39,10795
98.8,177.8,-702.3545,66.5,55.5,3.39,11245
104.9,175,-1082.508,66.1,54.4,3.76,18280
104.9,175,-1086.6715,66.1,54.4,3.43,18344
110,190.9,-1488.159,70.3,56.5,3.58,25552
110,190.9,-1636.439,70.3,58.7,3.58,28248
106.7,187.5,-1636.469,70.3,54.9,3.58,28176
115.6,202.6,-1817.149,71.7,56.3,3.58,31600
115.6,202.6,-1959.503,71.7,56.5,3.46,34184
96.6,180.3,-2027.053,70.5,50.8,3.46,35056
120.9,208.1,-2325.1,71.7,56.7,3.8,40960
112,199.2,-2581.03,72,55.4,3.8,45400
102.7,178.4,-992.344,68,54.8,3.78,16503
93.7,157.3,-384.4835,64.4,50.8,2.97,5389
93.7,157.3,-428.4835,64.4,50.8,2.97,6189
93.7,157.3,-454.8835,64.4,50.8,2.97,6669
93,157.3,-509.3965,63.8,50.8,3.03,7689
96.3,173,-631.8935,65.4,49.4,3.17,9959
96.3,173,-551.2425,65.4,49.4,3.35,8499
95.9,173.2,-781.394,66.3,50.2,3.58,12629
95.9,173.2,-904.5745,66.3,50.2,3.59,14869
95.9,173.2,-883.6745,66.3,50.2,3.59,14489
96.3,172.4,-468.3725,65.4,51.6,3.35,6989
96.3,172.4,-534.3725,65.4,51.6,3.35,8189
96.3,172.4,-594.6735,65.4,51.6,3.17,9279
96.3,172.4,-594.6735,65.4,51.6,3.17,9279
94.5,165.3,-384.9625,63.8,54.5,3.15,5499
94.5,165.3,-473.2745,63.8,54.5,2.99,7099
94.5,165.3,-448.2125,63.8,54.5,3.15,6649
94.5,165.3,-459.2125,63.8,54.5,3.15,6849
94.5,170.2,-485.2425,63.8,53.5,3.15,7349
94.5,165.3,-483.9625,63.8,54.5,3.15,7299
94.5,165.6,-511.3725,63.8,53.3,3.15,7799
94.5,165.3,-494.9625,63.8,54.5,3.15,7499
94.5,170.2,-520.9925,63.8,53.5,3.15,7999
95.1,162.4,-536.5425,63.8,53.3,3.15,8249
97.2,173.4,-574.4015,65.2,54.7,3.33,8949
97.2,173.4,-607.4015,65.2,54.7,3.33,9549
100.4,181.7,-823.6365,66.5,55.1,3.43,13499
100.4,184.6,-872.2665,66.5,56.1,3.43,14399
100.4,184.6,-822.7665,66.5,55.1,3.43,13499
91.3,170.7,-1043.5265,67.9,49.7,3.43,17199
91.3,170.7,-1181.0265,67.9,49.7,3.43,19699
99.2,178.5,-1100.0765,67.9,49.7,3.43,18399
